Scale Ticket #,Time In,Time Out,Commodity,Broker,Hauler,Heavy Weight (lbs),Light Weight (lbs),Net Weight  (lbs) AsFed,Bill Of Lading,Truck,Total,cwt
"68,286",2/24/2022 9:26,2/24/2022 10:37,Milk Barn 4,Jerome Cheese Agropur,Giltner,"105,060","33,480","71,580",4413260,,0,715.8
"68,313",2/24/2022 18:29,2/24/2022 20:40,Milk Barn 4,Jerome Cheese Agropur,Giltner,"102,840","36,520","66,320",4413261,,0,663.2
"68,315",2/24/2022 22:28,2/25/2022 0:15,Milk Barn 4,Jerome Cheese Agropur,Giltner,"105,300","35,580","69,720",4413262,,0,697.2
"68,318",2/25/2022 6:02,2/25/2022 7:30,Milk Barn 4,Jerome Cheese Agropur,Giltner,"103,200","36,660","66,540",4413263,,0,665.4
"68,326",2/25/2022 8:47,2/25/2022 9:59,Milk Barn 4,Jerome Cheese Agropur,Giltner,"99,640","38,360","61,280",4413267,,0,612.8
"68,349",2/25/2022 18:57,2/25/2022 21:26,Milk Barn 4,Jerome Cheese Agropur,Giltner,"100,600","34,640","65,960",4413268,,0,659.6
"68,356",2/25/2022 23:44,2/26/2022 1:09,Milk Barn 4,Jerome Cheese Agropur,Giltner,"104,560","35,940","68,620",4411001,,0,686.2
"68,359",2/26/2022 5:50,2/26/2022 7:24,Milk Barn 4,Jerome Cheese Agropur,Giltner,"106,380","35,880","70,500",4411003,,0,705
"68,381",2/26/2022 16:22,2/26/2022 17:31,Milk Barn 4,Jerome Cheese Agropur,Giltner,"105,780","36,460","69,320",4411002,,0,693.2
"68,383",2/26/2022 19:16,2/26/2022 21:03,Milk Barn 4,Jerome Cheese Agropur,Giltner,"105,260","39,280","65,980",4413270,,0,659.8
"68,389",2/27/2022 5:56,2/27/2022 7:07,Milk Barn 4,Jerome Cheese Agropur,Giltner,"106,240","37,860","68,380",4413269,,0,683.8
"68,392",2/27/2022 11:46,2/27/2022 12:35,Milk Barn 4,Jerome Cheese Agropur,Giltner,"89,220","35,260","53,960",4412379,,0,539.6
"68,396",2/27/2022 18:35,2/27/2022 19:43,Milk Barn 4,Jerome Cheese Agropur,Giltner,"97,300","35,600","61,700",4413271,,0,617
"68,402",2/28/2022 2:22,2/28/2022 3:20,Milk Barn 4,Jerome Cheese Agropur,Giltner,"94,320","36,420","57,900",4413272,,0,579
"68,415",2/28/2022 10:13,2/28/2022 11:18,Milk Barn 4,Jerome Cheese Agropur,Giltner,"107,520","35,640","71,880",4432173,,0,718.8
"68,431",2/28/2022 16:32,2/28/2022 17:49,Milk Barn 4,Jerome Cheese Agropur,Giltner,"106,880","36,160","70,720",4413274,,0,707.2
"67,521",2/1/2022 2:38,2/1/2022 3:53,Milk Barn 5,Gossner Foods,Thornley,"94,420","34,760","59,660",442505,,0,596.6
"67,649",2/4/2022 9:02,2/4/2022 10:24,Milk Barn 5,Gossner Foods,Thornley,"118,040","46,020","72,020",442522,,0,720.2
"67,660",2/4/2022 12:15,2/4/2022 13:33,Milk Barn 5,Gossner Foods,Thornley,"120,000","46,060","73,940",442523,,0,739.4
"67,693",2/5/2022 14:38,2/5/2022 15:42,Milk Barn 5,Gossner Foods,Thornley,"98,380","36,020","62,360",442524,,0,623.6
"67,699",2/5/2022 18:39,2/6/2022 22:29,Milk Barn 5,Gossner Foods,Thornley,"116,840","31,840","85,000",0,,0,850
"67,717",2/6/2022 22:29,2/6/2022 23:28,Milk Barn 5,Gossner Foods,Thornley,"97,940","32,060","65,880",442526,,0,658.8
"67,800",2/7/2022 5:30,2/7/2022 6:30,Milk Barn 5,Gossner Foods,Thornley,"127,000","36,000","91,000",7762-NS manually,,0,910
"67,802",2/7/2022 12:30,2/7/2022 13:30,Milk Barn 5,Gossner Foods,Thornley,"126,645","36,000","90,645",NS-manually,,0,906.45
"67,803",2/8/2022 9:40,2/8/2022 10:40,Milk Barn 5,Gossner Foods,Thornley,"99,000","36,000","63,000",NS-manually,,0,630
"67,881",2/9/2022 6:30,2/9/2022 7:30,Milk Barn 5,Gossner Foods,Thornley,"121,715","36,000","85,715",NS-manually,,0,857.15
"67,882",2/9/2022 9:30,2/9/2022 10:30,Milk Barn 5,Gossner Foods,Thornley,"99,000","36,000","63,000",NS-manually,,0,630
"67,966",2/10/2022 8:10,2/10/2022 9:10,Milk Barn 5,Gossner Foods,Thornley,"99,000","36,000","63,000",NS-Manually,,0,630
"67,965",2/10/2022 10:50,2/10/2022 11:50,Milk Barn 5,Gossner Foods,Thornley,"118,000","36,000","82,000",NS-manually,,0,820
"67,968",2/11/2022 11:25,2/11/2022 12:25,Milk Barn 5,Gossner Foods,Thornley,"101,000","36,000","65,000",NS-manually,,0,650
"67,898",2/11/2022 14:48,2/11/2022 16:10,Milk Barn 5,Gossner Foods,Thornley,"132,100","46,500","85,600",442622,,0,856
"67,910",2/12/2022 9:22,2/12/2022 10:27,Milk Barn 5,Gossner Foods,Thornley,"99,320","35,740","63,580",442623,,0,635.8
"67,917",2/12/2022 12:15,2/12/2022 13:09,Milk Barn 5,Gossner Foods,Thornley,"110,340","46,660","63,680",442624,,0,636.8
"67,937",2/13/2022 8:43,2/13/2022 10:13,Milk Barn 5,Gossner Foods,Thornley,"126,900","44,560","82,340",442532,,0,823.4
"67,955",2/14/2022 8:15,2/14/2022 9:45,Milk Barn 5,Gossner Foods,Thornley,"131,340","46,620","84,720",442535,,0,847.2
"67,993",2/15/2022 3:29,2/15/2022 4:38,Milk Barn 5,Gossner Foods,Thornley,"131,960","46,420","85,540",442626,,0,855.4
"68,010",2/15/2022 11:16,2/15/2022 12:25,Milk Barn 5,Gossner Foods,Thornley,"132,420","46,200","86,220",442627,,0,862.2
"68,042",2/16/2022 11:09,2/16/2022 12:07,Milk Barn 5,Gossner Foods,Thornley,"97,560","35,820","61,740",442628,,0,617.4
"68,052",2/16/2022 14:11,2/16/2022 15:20,Milk Barn 5,Gossner Foods,Thornley,"133,620","47,300","86,320",442628,,0,863.2
"68,069",2/17/2022 8:16,2/17/2022 9:24,Milk Barn 5,Gossner Foods,Thornley,"135,100","46,260","88,840",442630,,0,888.4
"68,112",2/18/2022 9:01,2/18/2022 10:48,Milk Barn 5,Gossner Foods,Thornley,"130,660","46,540","84,120",442632,,0,841.2
"68,120",2/18/2022 12:53,2/18/2022 14:25,Milk Barn 5,Gossner Foods,Thornley,"128,500","46,980","81,520",442633,,0,815.2
"68,145",2/19/2022 6:40,2/19/2022 7:51,Milk Barn 5,Gossner Foods,Thornley,"133,540","47,100","86,440",442635,,0,864.4
"68,153",2/19/2022 12:12,2/19/2022 13:27,Milk Barn 5,Gossner Foods,Thornley,"134,980","47,240","87,740",442637,,0,877.4
"68,166",2/20/2022 12:24,2/20/2022 13:51,Milk Barn 5,Gossner Foods,Thornley,"132,800","46,360","86,440",442638,,0,864.4
"68,179",2/21/2022 6:33,2/21/2022 8:00,Milk Barn 5,Gossner Foods,Thornley,"134,140","46,280","87,860",442640,,0,878.6
"68,285",2/22/2022 9:26,2/22/2022 10:27,Milk Barn 5,Gossner Foods,Thornley,"121,140","36,000","85,140",NS-manually 53222,,0,851.4
"68,228",2/22/2022 13:37,2/22/2022 14:45,Milk Barn 5,Gossner Foods,Thornley,"131,800","46,580","85,220",442643,,0,852.2
"68,256",2/23/2022 12:43,2/23/2022 13:56,Milk Barn 5,Gossner Foods,Thornley,"130,940","46,040","84,900",442645,,0,849
"68,274",2/24/2022 3:30,2/24/2022 4:37,Milk Barn 5,Gossner Foods,Thornley,"131,360","46,120","85,240",442646,,0,852.4
"68,296",2/24/2022 11:02,2/24/2022 12:11,Milk Barn 5,Gossner Foods,Thornley,"130,760","45,800","84,960",442647,,0,849.6
"68,336",2/25/2022 12:03,2/25/2022 13:51,Milk Barn 5,Gossner Foods,Thornley,"130,520","46,620","83,900",442648,,0,839
"68,375",2/26/2022 13:57,2/26/2022 15:00,Milk Barn 5,Gossner Foods,Thornley,"132,400","47,060","85,340",442649,,0,853.4
"68,393",2/27/2022 12:24,2/27/2022 13:58,Milk Barn 5,Gossner Foods,Thornley,"133,820","46,660","87,160",44207,,0,871.6
"68,410",2/28/2022 9:04,2/28/2022 11:16,Milk Barn 5,Gossner Foods,Thornley,"131,060","46,600","84,460",442704,,0,844.6
"67,780",2/2/2022 21:50,2/2/2022 22:50,Milk Barn 5,High Desert Milk,High Desert Milk,"106,000","36,000","70,000",164623-NS manual,,0,700
"67,677",2/4/2022 16:24,2/4/2022 17:19,Milk Barn 5,High Desert Milk,High Desert Milk,"69,440","35,560","33,880",165203,,0,338.8
"67,713",2/6/2022 14:56,2/6/2022 15:57,Milk Barn 5,High Desert Milk,High Desert Milk,"106,660","36,040","70,620",165211,,0,706.2
"67,766",2/8/2022 9:35,2/8/2022 10:43,Milk Barn 5,High Desert Milk,High Desert Milk,"96,940","36,540","60,400",164635,,0,604
"67,866",2/10/2022 16:28,2/10/2022 17:35,Milk Barn 5,High Desert Milk,High Desert Milk,"106,700","36,060","70,640",165219,,0,706.4
"67,913",2/12/2022 10:44,2/12/2022 12:07,Milk Barn 5,High Desert Milk,High Desert Milk,"108,080","36,200","71,880",164642,,0,718.8
"67,982",2/14/2022 15:26,2/14/2022 16:39,Milk Barn 5,High Desert Milk,High Desert Milk,"107,080","36,360","70,720",165223,,0,707.2
"68,059",2/16/2022 18:48,2/16/2022 19:57,Milk Barn 5,High Desert Milk,High Desert Milk,"104,200","36,320","67,880",165305,,0,678.8
"68,132",2/18/2022 18:02,2/18/2022 19:42,Milk Barn 5,High Desert Milk,High Desert Milk,"107,780","36,000","71,780",165512,,0,717.8
"68,173",2/20/2022 18:16,2/20/2022 20:02,Milk Barn 5,High Desert Milk,High Desert Milk,"104,120","36,260","67,860",165520,,0,678.6
"68,235",2/22/2022 18:03,2/22/2022 19:25,Milk Barn 5,High Desert Milk,High Desert Milk,"105,220","35,840","69,380",165317,,0,693.8
"68,311",2/24/2022 17:56,2/24/2022 19:34,Milk Barn 5,High Desert Milk,High Desert Milk,"99,040","37,680","61,360",165529,,0,613.6
"68,382",2/26/2022 17:40,2/26/2022 19:02,Milk Barn 5,High Desert Milk,High Desert Milk,"94,500","36,180","58,320",165324,,0,583.2
"68,432",2/28/2022 17:26,2/28/2022 19:07,Milk Barn 5,High Desert Milk,High Desert Milk,"107,320","36,380","70,940",165535,,0,709.4
"67,518",2/1/2022 0:22,2/1/2022 1:48,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"99,940","34,760","65,180",18,,0,651.8
"67,564",2/2/2022 0:35,2/2/2022 2:05,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"94,920","35,220","59,700",18,,0,597
"67,580",2/2/2022 9:30,2/2/2022 10:54,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"107,740","35,920","71,820",164623,,0,718.2
"67,605",2/2/2022 23:10,2/3/2022 0:43,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"104,240","35,520","68,720",11990430,,0,687.2
"67,642",2/3/2022 23:13,2/4/2022 0:42,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"91,920","34,680","57,240",11990422,,0,572.4
"67,680",2/4/2022 23:15,2/5/2022 0:45,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"96,300","35,120","61,180",11990454,,0,611.8
"67,702",2/6/2022 0:11,2/6/2022 2:07,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"92,680","35,680","57,000",18,,0,570
"67,718",2/6/2022 23:53,2/7/2022 1:25,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"85,780","35,840","49,940",18,,0,499.4
"67,782",2/7/2022 15:38,2/7/2022 16:38,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"104,500","36,000","68,500",8357-NS manually,,0,685
"67,755",2/8/2022 12:37,2/8/2022 1:37,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"93,340","35,580","57,760",18,,0,577.6
"67,865",2/9/2022 15:14,2/9/2022 16:10,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,000","36,000","69,000",NS-manually,,0,690
"67,831",2/10/2022 0:20,2/10/2022 1:48,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"98,340","35,320","63,020",18,,0,630.2
"67,872",2/10/2022 23:54,2/11/2022 1:44,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"102,400","35,360","67,040",12019120,,0,670.4
"67,905",2/11/2022 23:25,2/12/2022 0:59,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,220","35,260","69,960",12019182,,0,699.6
"67,933",2/13/2022 0:02,2/13/2022 1:36,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,140","35,480","69,660",18,,0,696.6
"67,948",2/14/2022 0:02,2/14/2022 1:27,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,480","35,240","70,240",18,,0,702.4
"67,991",2/15/2022 0:20,2/15/2022 1:45,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,780","35,440","70,340",18,,0,703.4
"68,035",2/16/2022 7:38,2/16/2022 8:58,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,440","36,780","68,660",374364,,0,686.6
"68,072",2/17/2022 8:39,2/17/2022 10:38,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"105,840","36,440","69,400",376709,,0,694
"68,108",2/18/2022 8:35,2/18/2022 9:54,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"104,880","36,460","68,420",384817,,0,684.2
"68,147",2/19/2022 8:41,2/19/2022 10:12,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"109,240","36,680","72,560",12044374,,0,725.6
"68,163",2/20/2022 6:22,2/20/2022 7:38,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"109,220","36,720","72,500",12065906,,0,725
"68,181",2/21/2022 8:44,2/21/2022 10:10,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"109,660","36,680","72,980",12065968,,0,729.8
"68,214",2/22/2022 7:41,2/22/2022 9:14,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"108,960","36,680","72,280",384437,,0,722.8
"68,247",2/23/2022 8:27,2/23/2022 10:16,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"109,020","36,480","72,540",384440,,0,725.4
"68,287",2/24/2022 9:30,2/24/2022 10:53,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"107,800","35,960","71,840",12108,,0,718.4
"68,329",2/25/2022 10:25,2/25/2022 11:51,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"99,720","36,820","62,900",12065942,,0,629
"68,365",2/26/2022 9:25,2/26/2022 10:35,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"97,220","36,900","60,320",12065974,,0,603.2
"68,390",2/27/2022 8:07,2/27/2022 9:22,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"99,660","36,820","62,840",12060975,,0,628.4
"68,409",2/28/2022 8:51,2/28/2022 10:08,Milk Barn 5,Magic Valley Quality Milk,Magic Valley Quality Milk,"103,180","36,740","66,440",12090684,,0,664.4
